,Tenant,VRF,BD_Name,BD_IP,AP,EPG_Name,VLAN_ID,VLAN_Pool,Domain,NODEID_FROM,NODEID_TO,Port,Mode,PGType,PolicyGroup
0,D_DC,DEV_TSM_BACKUP,VL959_DEV_BR_BE_DATA_BD,,DEV_BR_BE_DATA_AP,VL959_DEV_BR_BE_DATA_EPG,959,D_DC_SVPL,D_DC_PDOM,203,204,32,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_32_VPC
1,D_DC,DEV_TSM_BACKUP,VL959_DEV_BR_BE_DATA_BD,,DEV_BR_BE_DATA_AP,VL959_DEV_BR_BE_DATA_EPG,959,D_DC_SVPL,D_DC_PDOM,203,204,33,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_33_VPC
2,D_DC,DEV_TSM_BACKUP,VL959_DEV_BR_BE_DATA_BD,,DEV_BR_BE_DATA_AP,VL959_DEV_BR_BE_DATA_EPG,959,D_DC_SVPL,D_DC_PDOM,203,204,34,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_34_VPC
3,D_DC,DEV_TSM_BACKUP,VL959_DEV_BR_BE_DATA_BD,,DEV_BR_BE_DATA_AP,VL959_DEV_BR_BE_DATA_EPG,959,D_DC_SVPL,D_DC_PDOM,203,204,35,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_35_VPC
4,D_DC,DEV_TSM_BACKUP,VL959_DEV_BR_BE_DATA_BD,,DEV_BR_BE_DATA_AP,VL959_DEV_BR_BE_DATA_EPG,959,D_DC_SVPL,D_DC_PDOM,101,102,23,regular,VPC,TLALFHC5101_TLALFHC5102_ETH1_23_24_VPC
5,D_DC,DEV_TSM_BACKUP,VL959_DEV_BR_BE_DATA_BD,,DEV_BR_BE_DATA_AP,VL959_DEV_BR_BE_DATA_EPG,959,D_DC_SVPL,D_DC_PDOM,101,102,24,regular,VPC,TLALFHC5101_TLALFHC5102_ETH1_23_24_VPC
6,D_MGMT,DT_SYS_DS_MGT_001,VL1601_DT_SYS_WDS_MGT_001_BD,,DT_SYS_DS_MGT_001_AP,VL1601_DT_SYS_WDS_MGT_001_EPG,1601,D_MGMT_SVPL,D_MGMT_PDOM,101,102,23,regular,VPC,TLALFHC5101_TLALFHC5102_ETH1_23_24_VPC
7,D_MGMT,DT_SYS_DS_MGT_001,VL1601_DT_SYS_WDS_MGT_001_BD,,DT_SYS_DS_MGT_001_AP,VL1601_DT_SYS_WDS_MGT_001_EPG,1601,D_MGMT_SVPL,D_MGMT_PDOM,101,102,24,regular,VPC,TLALFHC5101_TLALFHC5102_ETH1_23_24_VPC
8,D_MGMT,DT_SYS_DS_MGT_001,VL1601_DT_SYS_WDS_MGT_001_BD,,DT_SYS_DS_MGT_001_AP,VL1601_DT_SYS_WDS_MGT_001_EPG,1601,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
9,D_MGMT,DT_SYS_DS_MGT_001,VL1601_DT_SYS_WDS_MGT_001_BD,,DT_SYS_DS_MGT_001_AP,VL1601_DT_SYS_WDS_MGT_001_EPG,1601,D_MGMT_SVPL,D_MGMT_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
10,D_MGMT,DT_SYS_DS_MGT_001,VL1601_DT_SYS_WDS_MGT_001_BD,,DT_SYS_DS_MGT_001_AP,VL1601_DT_SYS_WDS_MGT_001_EPG,1601,D_MGMT_SVPL,D_MGMT_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
11,D_MGMT,DT_SYS_DS_MGT_001,VL1601_DT_SYS_WDS_MGT_001_BD,,DT_SYS_DS_MGT_001_AP,VL1601_DT_SYS_WDS_MGT_001_EPG,1601,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
12,D_MGMT,DT_SYS_DS_MGT_001,VL1602_DT_SYS_LDS_MGT_002_BD,,DT_SYS_DS_MGT_001_AP,VL1602_DT_SYS_LDS_MGT_002_EPG,1602,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
